PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Mason Plumlee,CHO,Roll + Cut Big,"1,577",C,32,,0.32,-1.51,1.83,2.8,0.32,-1.02,1.34,-0.77,-0.73,-0.04
Matisse Thybulle,PHI,Stretch Big,"1,444",SG,25,,-0.31,-2.04,1.73,1.9,-0.41,-2.26,1.85,0.12,0.29,-0.17
Matt Mooney,NYK,Low Minute,2,SG,27,,-0.36,-0.21,-0.15,0,-0.38,-0.2,-0.18,0,0,0
Matt Thomas,CHI,Movement Shooter,459,SG,27,,-1.63,-0.52,-1.11,0.2,-1.79,-0.91,-0.88,-0.64,-0.43,-0.21
Maurice Harkless,SAC,Stationary Shooter,863,SF,28,,-1.33,-2.12,0.79,0.6,-2.39,-2.83,0.44,0.15,0.07,0.07
Max Strus,MIA,Movement Shooter,"1,364",SF,25,,-0.62,0.17,-0.79,1.5,-0.15,0.38,-0.54,1.19,0.35,0.84
Maxi Kleber,DAL,Stretch Big,"1,317",PF,30,,0.32,-1.2,1.52,2.3,0.13,-1.28,1.4,0.22,0.47,-0.25
McKinley Wright IV,MIN,Movement Shooter,9,PG,23,,-0.99,-0.39,-0.61,0,-0.9,-0.3,-0.6,-0.15,-0.05,-0.1
Micah Potter,DET,Roll + Cut Big,31,C,23,,-0.91,-0.84,-0.08,0,-0.5,-0.49,-0.01,0,0,0
Michael Porter Jr.,DEN,Movement Shooter,265,SF,23,,0.53,-0.63,1.16,0.5,-0.25,-0.39,0.14,1.67,0.16,1.5
Mikal Bridges,PHO,Stationary Shooter,"2,544",SF,25,,1.35,0.58,0.77,6.2,1.46,0.21,1.25,1.52,0.79,0.73
Mike Conley,UTA,Primary Ball Handler,"1,779",PG,34,,2.58,1.59,0.99,5.8,2.79,2.46,0.34,0.25,0.26,0.01
Mike Muscala,OKC,Stretch Big,592,C,30,,1.48,0.62,0.86,1.5,1.33,0.57,0.76,0.35,0.05,0.29
Miles Bridges,CHO,Stationary Shooter,"2,515",PF,24,,2.07,2,0.07,7.3,0.95,1.13,-0.18,0.76,1.81,-1.05
Miles McBride,NYK,Shot Creator,267,PG,21,,-0.11,-0.24,0.12,0.4,-0.97,-0.83,-0.14,0.09,0.16,-0.07
Mitchell Robinson,NYK,Roll + Cut Big,"1,640",C,23,,1.17,-0.45,1.62,3.8,1.1,-0.82,1.93,-0.03,0.77,-0.8
Miye Oni,UTA,Low Minute,44,SG,24,,-1.01,-0.27,-0.75,0,-0.72,-0.16,-0.57,-0.67,-0.27,-0.4
MJ Walker,PHO,Movement Shooter,8,SG,23,,-1.26,-0.43,-0.82,0,-1.25,-0.45,-0.8,0,0,0
Mo Bamba,ORL,Stretch Big,"1,577",C,23,,-0.61,-2.66,2.06,1.8,0.28,-1.47,1.75,-1.7,-1.71,0.01
Monte Morris,DEN,Primary Ball Handler,"1,964",PG,26,,0.5,1.28,-0.79,3.7,0.55,0.78,-0.23,1.4,1.33,0.07
Montrezl Harrell,WAS/CHO,Post Scorer,"1,486",C,28,,0.99,1.53,-0.54,3.3,0.77,1.19,-0.42,0.06,0.4,-0.34
Moritz Wagner,ORL,Stretch Big,727,C,24,,0.38,1.44,-1.06,1.3,0.51,0.77,-0.26,-0.21,0.86,-1.06
Moses Brown,DAL/CLE,Roll + Cut Big,198,C,22,,-0.03,-0.72,0.69,0.3,-0.75,-1.08,0.32,1.19,0.34,0.85
Moses Moody,GSW,Stationary Shooter,533,SG,19,,-2.01,-0.99,-1.02,0.1,-1.58,-0.75,-0.83,0.17,-0.54,0.71
Moses Wright,LAC,Low Minute,1,PF,23,,-0.33,-0.15,-0.18,0,-0.32,-0.12,-0.2,0,0,0
Mychal Mulder,ORL,Movement Shooter,195,PG,27,,-1.69,-1.48,-0.21,0.1,-1.59,-1.41,-0.18,-0.59,-0.27,-0.32
Myles Powell,PHI,Secondary Ball Handler,52,PG,24,,-1.47,-0.7,-0.77,0,-1.26,-0.65,-0.61,0,0,0
Myles Turner,IND,Stretch Big,"1,235",C,25,,3.36,0.03,3.33,4.6,2.13,-0.26,2.39,2.34,0.56,1.78
Naji Marshall,NOP,Stationary Shooter,576,SF,24,,-0.49,-0.38,-0.11,0.7,-0.54,-0.39,-0.15,-0.66,-0.99,0.33
Nassir Little,POR,Stationary Shooter,"1,088",SF,22,,-0.88,-1,0.11,1,-1,-0.95,-0.05,-0.23,0.69,-0.92
Nate Hinton,IND,Low Minute,2,SG,22,,-0.14,0.02,-0.16,0,-0.25,-0.03,-0.22,0,0,0
Nathan Knight,MIN,Roll + Cut Big,240,PF,24,,0.15,-0.14,0.29,0.4,-0.37,-0.25,-0.11,0.58,0.21,0.37
Naz Reid,MIN,Stretch Big,"1,081",C,22,,0.29,-0.68,0.97,1.9,0.26,-0.23,0.49,-1.22,-1.42,0.21
Neemias Queta,SAC,Roll + Cut Big,56,C,22,,-0.34,-0.47,0.13,0.1,-0.48,-0.43,-0.05,0,0,0
Nemanja Bjelica,GSW,Stretch Big,973,C,33,,0.66,-0.26,0.91,1.9,0.46,-0.41,0.87,0.53,0.01,0.53
Nerlens Noel,NYK,Roll + Cut Big,562,C,27,,-0.72,-3.21,2.49,0.6,-0.43,-2.81,2.38,-0.45,-0.5,0.05
Nic Claxton,BRK,Roll + Cut Big,765,C,22,,-0.06,-0.71,0.65,1.1,0.13,-0.67,0.8,-1.17,-0.57,-0.6
Nick Richards,CHO,Roll + Cut Big,355,C,24,,-1.54,-2.33,0.79,0.2,-1.55,-2.05,0.49,0.35,-0.44,0.8
Nickeil Alexander-Walker,NOP/UTA,Secondary Ball Handler,"1,430",SG,23,,-1.42,-0.78,-0.64,0.9,-1.38,-0.42,-0.97,-0.26,0.46,-0.73
Nicolas Batum,LAC,Stationary Shooter,"1,289",PF,33,,-0.4,-1.62,1.23,1.6,0.56,-0.78,1.34,-0.34,-0.55,0.21
Nik Stauskas,MIA/BOS,Secondary Ball Handler,35,SG,28,,-0.45,-0.22,-0.23,0,-0.61,-0.28,-0.33,0,0,0
Nikola Jokic,DEN,Post Scorer,"2,151",C,27,,7.58,5.52,2.05,13.3,6.37,4.94,1.43,3.74,2.35,1.39
Nikola Vucevic,CHI,Versatile Big,"2,109",C,31,,2.16,0.1,2.06,6.2,2.09,1,1.08,0.59,-0.81,1.4
Norman Powell,POR/LAC,Stationary Shooter,"1,413",SF-SG,28,,-1.63,0.55,-2.18,0.7,-0.83,0.16,-0.99,0.47,1.25,-0.78
Norvel Pelle,UTA,Roll + Cut Big,19,C,29,,-1.07,-0.32,-0.75,0,-0.63,-0.05,-0.58,0,0,0
Obi Toppin,NYK,Stretch Big,903,PF,24,,0.97,0.48,0.49,2,-0.39,-0.27,-0.13,0.91,0.67,0.23
OG Anunoby,TOR,Shot Creator,"1,541",SF,24,,0.02,-0.33,0.34,2.4,-0.02,-0.01,-0.01,-0.44,0.2,-0.64
Olivier Sarr,OKC,Stretch Big,231,C,23,,-1.24,-1.8,0.57,0.2,-1.44,-1.77,0.33,0,0,0
Omer Yurtseven,MIA,Roll + Cut Big,630,C,23,,1.03,-0.42,1.45,1.4,0.83,-0.45,1.29,-0.47,-0.47,0.01
Onyeka Okongwu,ATL,Roll + Cut Big,766,C,21,,1.3,0.14,1.16,1.8,0.49,-0.66,1.16,0,0,0
Oshae Brissett,IND,Athletic Finisher,"1,296",SF,23,,-0.93,-0.24,-0.69,1.2,-1.08,-0.5,-0.58,-0.9,-0.59,-0.31
Otto Porter Jr.,GSW,Athletic Finisher,"1,216",PF,28,,2.08,0.13,1.94,3.5,1.58,0.21,1.37,1.57,0.36,1.21
P.J. Dozier,DEN,Movement Shooter,340,SG,25,,-1.36,-1.41,0.05,0.2,-1.11,-1.07,-0.04,-0.28,-0.46,0.18
P.J. Tucker,MIA,Stretch Big,"1,795",PF,36,,0.11,-0.84,0.95,2.9,0.02,-1.13,1.15,1.21,0.81,0.4
P.J. Washington,CHO,Stretch Big,"1,468",PF,23,,-0.21,-0.26,0.05,2.1,-0.8,-0.74,-0.06,-1.72,-0.22,-1.5
Paris Bass,PHO,Stretch Big,7,SF,26,,-1.21,-0.43,-0.78,0,-1.25,-0.43,-0.81,0,0,0
Pascal Siakam,TOR,Shot Creator,"2,224",PF,27,,1.46,1.2,0.26,5.6,1.09,0.81,0.27,0.63,0.72,-0.09
Pat Connaughton,MIL,Stationary Shooter,"1,478",SG,29,,-0.65,-1.06,0.41,1.6,-0.12,-0.11,0,0.88,-0.11,0.99
Patrick Beverley,MIN,Primary Ball Handler,"1,303",PG,33,,1.73,0.97,0.75,3.5,1.69,0.6,1.09,0.82,1.58,-0.76
Patrick Williams,CHI,Stationary Shooter,144,PF,20,,-1.74,-1.72,-0.02,0.1,-1.39,-1.33,-0.05,-0.45,-0.63,0.17
Patty Mills,BRK,Movement Shooter,"2,122",PG,33,,-0.76,1,-1.76,2.2,-1.19,0.25,-1.44,0.49,1.41,-0.93
Paul George,LAC,Shot Creator,924,SF,31,,1.72,0.46,1.26,2.5,1.42,1.21,0.21,0.13,-1.03,1.16
Paul Millsap,BRK/PHI,Stretch Big,366,PF,37,,-0.94,-0.86,-0.08,0.3,-0.53,-0.67,0.14,-0.42,-0.56,0.15
Paul Reed,PHI,Roll + Cut Big,246,C,22,,-0.58,-0.91,0.33,0.3,-0.54,-1.11,0.57,0.33,0.81,-0.48
