PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Yuta Watanabe,TOR,Stationary Shooter,408,SF,27,,-0.5,-0.93,0.43,0.5,-1.19,-1.44,0.25,0.63,-0.3,0.93
Yves Pons,MEM,Stretch Big,29,SF,22,,-1.55,-0.79,-0.75,0,-1.42,-0.71,-0.71,-0.08,-0.02,-0.06
Zach Collins,SAS,Stretch Big,293,PF,24,,-1.2,-1,-0.2,0.2,-1.11,-1.25,0.14,0,0,0
Zach LaVine,CHI,Shot Creator,"2,012",SF,27,,0.74,1.68,-0.94,4.1,1.25,2.38,-1.13,-0.77,-0.53,-0.23
Zeke Nnaji,DEN,Stretch Big,671,PF,21,,-2.3,-1.64,-0.66,0,-1.25,-1.02,-0.23,-1.13,-0.2,-0.93
Ziaire Williams,MEM,Stationary Shooter,"1,119",SF,20,,-3.23,-1.64,-1.58,-0.6,-2.48,-1.62,-0.86,-2.11,-0.76,-1.36
Zylan Cheatham,UTA,Low Minute,5,SF,26,,-0.64,-0.06,-0.58,0,-0.54,0.06,-0.59,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
